query,retrieval_mode,retrieval_label,precision_at_5,precision_at_10,highly_relevant_at_5,highly_relevant_at_10,ndcg_at_10,latency_ms,result_count,top_result_title,top_result_score,top_result_grade,grades,semantic_available
diabetes trials using continuous glucose monitoring in california,bm25_tfidf,BM25 + TF-IDF,1.0,1.0,0.2,0.1,1.0,971.91,10,Continuous Glucose Monitoring (CGM) in Prediabetes With Community Based Recruitment,0.9472,2,2 1 1 1 1 1 1 1 1 1,True
asthma trials for children in united states,bm25_tfidf,BM25 + TF-IDF,1.0,1.0,0.4,0.3,0.955,250.96,10,Project ASTHMA - Aligning With Schools To Help Manage Asthma and Improve Outcomes,1.0,2,2 2 1 1 1 1 1 1 2 1,True
depression trials for adults not using medication,bm25_tfidf,BM25 + TF-IDF,1.0,1.0,0.2,0.6,0.807,591.01,10,Antidepressant Adherence for Depressed Adults in Primary Care,0.9402,1,1 2 1 1 1 2 2 2 2 2,True
alzheimer trials for older adults,bm25_tfidf,BM25 + TF-IDF,1.0,1.0,0.8,0.9,0.968,339.55,10,Improv Music Therapy for Older Adults,0.9765,2,2 2 1 2 2 2 2 2 2 2,True
lung cancer immunotherapy trials in california,bm25_tfidf,BM25 + TF-IDF,1.0,1.0,0.0,0.0,1.0,1955.4,10,"Safety, Efficacy, and Survival Outcomes of Neoadjuvant/Induction Immunotherapy in Surgical and Radiotherapeutic Management of Non-Small Cell Lung Cancer",0.9015,1,1 1 1 1 1 1 1 1 1 1,True
parkinson trials for adults in united states,bm25_tfidf,BM25 + TF-IDF,1.0,1.0,0.6,0.4,0.858,697.37,10,Real-World Patient Experiences Using Continuous Subcutaneous Apomorphine Infusion (ONAPGOTM) in the United States:,1.0,1,1 2 2 1 2 2 1 1 1 1,True
migraine prevention trials,bm25_tfidf,BM25 + TF-IDF,1.0,1.0,1.0,0.9,0.993,162.81,10,Closed-loop RTMS for Short-term Migraine Prevention,0.9405,2,2 2 2 2 2 2 1 2 2 2,True
glioblastoma trials,bm25_tfidf,BM25 + TF-IDF,1.0,1.0,0.6,0.6,0.854,116.83,10,Deciphering Mechanisms Underlying Cancer Immunogenicity,0.8897,1,1 2 2 1 2 2 1 2 2 1,True
hiv vaccine trials,bm25_tfidf,BM25 + TF-IDF,1.0,1.0,0.6,0.7,0.839,456.64,10,Immunogenicity of Gardasil-9 HPV Vaccine in People Living With HIV,0.8562,1,1 2 1 2 2 1 2 2 2 2,True
stage 2 breast cancer trials near los angeles,weighted,Weighted hybrid,1.0,1.0,0.0,0.0,1.0,2015.54,10,Faith in Action! A Church-Based Navigation Model to Increase Breast Cancer Screening in Korean Women,0.8536,1,1 1 1 1 1 1 1 1 1 1,True
diabetes trials using continuous glucose monitoring in california,weighted,Weighted hybrid,1.0,1.0,0.6,0.3,0.929,1203.63,10,Continuous Glucose Monitoring (CGM) in Prediabetes With Community Based Recruitment,0.9226,2,2 1 1 2 2 1 1 1 1 1,True
asthma trials for children in united states,weighted,Weighted hybrid,1.0,1.0,0.8,0.9,0.985,291.24,10,Project ASTHMA - Aligning With Schools To Help Manage Asthma and Improve Outcomes,0.8688,2,2 2 2 2 1 2 2 2 2 2,True
depression trials for adults not using medication,weighted,Weighted hybrid,1.0,1.0,0.8,0.7,0.942,700.73,10,Digital Interventions for Adults with Treatment-Resistant Depression: a Pilot Study,0.8307,2,2 1 2 2 2 2 2 1 1 2,True
alzheimer trials for older adults,weighted,Weighted hybrid,1.0,1.0,0.8,0.8,0.966,425.47,10,Improv Music Therapy for Older Adults,0.7768,2,2 2 1 2 2 2 2 2 1 2,True
lung cancer immunotherapy trials in california,weighted,Weighted hybrid,1.0,1.0,0.0,0.1,0.783,1487.54,10,CONNECTing to LungCare,0.8361,1,1 1 1 1 1 1 1 1 1 2,True
parkinson trials for adults in united states,weighted,Weighted hybrid,1.0,1.0,0.6,0.4,0.83,426.32,10,Real-World Patient Experiences Using Continuous Subcutaneous Apomorphine Infusion (ONAPGOTM) in the United States:,0.9062,1,1 2 1 2 2 1 1 1 1 2,True
migraine prevention trials,weighted,Weighted hybrid,1.0,1.0,1.0,0.8,0.991,145.1,10,Closed-loop RTMS for Short-term Migraine Prevention,0.7637,2,2 2 2 2 2 1 2 2 2 1,True
glioblastoma trials,weighted,Weighted hybrid,1.0,1.0,0.6,0.6,0.854,115.81,10,Deciphering Mechanisms Underlying Cancer Immunogenicity,0.7434,1,1 2 2 1 2 2 1 2 2 1,True
hiv vaccine trials,weighted,Weighted hybrid,1.0,1.0,0.6,0.7,0.817,407.89,10,Immunogenicity of Gardasil-9 HPV Vaccine in People Living With HIV,0.73,1,1 1 2 2 2 1 2 2 2 2,True
stage 2 breast cancer trials near los angeles,semantic_hybrid,Semantic hybrid,1.0,1.0,0.0,0.0,1.0,14777.87,10,Faith in Action! A Church-Based Navigation Model to Increase Breast Cancer Screening in Korean Women,0.8381,1,1 1 1 1 1 1 1 1 1 1,True
diabetes trials using continuous glucose monitoring in california,semantic_hybrid,Semantic hybrid,1.0,1.0,0.4,0.5,0.91,1689.0,10,Continuous Glucose Monitoring (CGM) in Prediabetes With Community Based Recruitment,0.8823,2,2 1 2 1 1 2 2 1 1 2,True
asthma trials for children in united states,semantic_hybrid,Semantic hybrid,1.0,1.0,1.0,0.9,1.0,1560.79,10,Project ASTHMA - Aligning With Schools To Help Manage Asthma and Improve Outcomes,0.8824,2,2 2 2 2 2 2 2 2 2 1,True
depression trials for adults not using medication,semantic_hybrid,Semantic hybrid,1.0,1.0,0.4,0.5,0.815,1384.55,10,Antidepressant Adherence for Depressed Adults in Primary Care,0.8446,1,1 2 1 2 1 1 2 1 2 2,True
alzheimer trials for older adults,semantic_hybrid,Semantic hybrid,1.0,1.0,0.8,0.8,0.877,1963.84,10,Alzheimer Prevention Trials (APT) Webstudy,0.8062,1,1 2 2 2 2 1 2 2 2 2,True
lung cancer immunotherapy trials in california,semantic_hybrid,Semantic hybrid,1.0,1.0,0.0,0.2,0.754,4198.81,10,"Safety, Efficacy, and Survival Outcomes of Neoadjuvant/Induction Immunotherapy in Surgical and Radiotherapeutic Management of Non-Small Cell Lung Cancer",0.856,1,1 1 1 1 1 2 1 2 1 1,True
parkinson trials for adults in united states,semantic_hybrid,Semantic hybrid,1.0,1.0,0.4,0.6,0.836,2221.48,10,Real-World Patient Experiences Using Continuous Subcutaneous Apomorphine Infusion (ONAPGOTM) in the United States:,0.9224,1,1 2 2 1 1 2 1 2 2 2,True
migraine prevention trials,semantic_hybrid,Semantic hybrid,1.0,1.0,1.0,0.8,0.998,1319.02,10,Closed-loop RTMS for Short-term Migraine Prevention,0.8075,2,2 2 2 2 2 2 2 1 2 1,True
glioblastoma trials,semantic_hybrid,Semantic hybrid,1.0,1.0,0.6,0.8,0.924,1314.37,10,Analyzing and Solving Exceptional Long-term Survivors in Solid Tumors With Poor Prognosis,0.7438,2,2 1 2 1 2 2 2 2 2 2,True
hiv vaccine trials,semantic_hybrid,Semantic hybrid,1.0,1.0,0.8,0.7,0.952,1340.28,10,Immunogenicity and Safety of the Yellow Fever Vaccine in HIV Infected Individuals,0.7579,2,2 2 1 2 2 1 1 2 2 2,True
